,チーム,勝率,ptg,year,dif
81,オリックス,0.444,0.44824840887174544,2017,0.004248408871745435
82,日本ハム,0.42,0.4217520189745351,2017,0.001752018974535141
83,ロッテ,0.383,0.354048298742381,2017,0.028951701257619034
84,広島,0.5820000000000001,0.5508879426731748,2018,0.031112057326825315
85,ヤクルト,0.532,0.4947091428251498,2018,0.037290857174850256
86,巨人,0.486,0.5415944540727903,2018,0.05559445407279029
87,横浜,0.475,0.442530445744088,2018,0.03246955425591197
88,中日,0.447,0.45536087200122244,2018,0.00836087200122243
89,阪神,0.44,0.4577520269815059,2018,0.01775202698150591
90,西武,0.624,0.5953118282427281,2018,0.028688171757271896
91,ソフトバンク,0.5770000000000001,0.5832751166612387,2018,0.006275116661238589
92,日本ハム,0.529,0.5025531748457592,2018,0.026446825154240794
93,オリックス,0.471,0.47553596453901875,2018,0.0045359645390187775
94,ロッテ,0.421,0.41963092680342584,2018,0.0013690731965741443
95,楽天,0.414,0.4430687756128654,2018,0.029068775612865416
96,巨人,0.546,0.5724314948079042,2019,0.026431494807904188
97,横浜,0.507,0.4875744128300965,2019,0.019425587169903502
98,阪神,0.504,0.47465398491308625,2019,0.029346015086913757
99,広島,0.5,0.49161132864731266,2019,0.008388671352687338
100,中日,0.482,0.5171584503308017,2019,0.03515845033080167
101,ヤクルト,0.418,0.4407116749636697,2019,0.022711674963669715
102,西武,0.563,0.5419658037799615,2019,0.021034196220038437
103,ソフトバンク,0.551,0.515702932310222,2019,0.03529706768977803
104,楽天,0.511,0.5301738201046295,2019,0.019173820104629535
105,ロッテ,0.496,0.5247254880742471,2019,0.02872548807424713
106,日本ハム,0.471,0.47732406285578605,2019,0.006324062855786072
107,オリックス,0.449,0.42173847984551915,2019,0.027261520154480856
108,巨人,0.598,0.6149153205218733,2020,0.01691532052187328
109,阪神,0.531,0.5355942023896269,2020,0.0045942023896268225
110,中日,0.522,0.4349185418350419,2020,0.0870814581649581
111,横浜,0.491,0.5423480237588912,2020,0.05134802375889125
112,広島,0.481,0.4942967634674811,2020,0.013296763467481099
113,ヤクルト,0.373,0.38700580445096255,2020,0.014005804450962556
114,ソフトバンク,0.635,0.6507563203641047,2020,0.01575632036410468
115,ロッテ,0.513,0.48085808282160003,2020,0.03214191717839998
116,西武,0.5,0.4376223082645101,2020,0.062377691735489904
117,楽天,0.491,0.532403347673806,2020,0.041403347673806046
118,日本ハム,0.461,0.46576011865865136,2020,0.0047601186586513355
119,オリックス,0.398,0.43669641100838685,2020,0.03869641100838683
