,date,team_away,team_home,R_away,R_home
164,2022-04-30,オリックス・バファローズ,埼玉西武ライオンズ,3,2
165,2022-05-01,阪神タイガース,読売ジャイアンツ,8,1
166,2022-05-01,中日ドラゴンズ,広島東洋カープ,4,0
167,2022-05-01,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,2,1
168,2022-05-01,北海道日本ハムファイターズ,千葉ロッテマリーンズ,9,3
169,2022-05-01,埼玉西武ライオンズ,オリックス・バファローズ,2,1
170,2022-05-03,中日ドラゴンズ,横浜DeNAベイスターズ,7,3
171,2022-05-03,東京ヤクルトスワローズ,阪神タイガース,3,0
172,2022-05-03,広島東洋カープ,読売ジャイアンツ,12,3
173,2022-05-03,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,2,1
174,2022-05-03,埼玉西武ライオンズ,千葉ロッテマリーンズ,4,2
175,2022-05-03,福岡ソフトバンクホークス,オリックス・バファローズ,7,3
176,2022-05-04,横浜DeNAベイスターズ,中日ドラゴンズ,7,1
177,2022-05-04,東京ヤクルトスワローズ,阪神タイガース,3,0
178,2022-05-04,読売ジャイアンツ,広島東洋カープ,6,3
179,2022-05-04,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,5,1
180,2022-05-04,千葉ロッテマリーンズ,埼玉西武ライオンズ,7,5
181,2022-05-04,福岡ソフトバンクホークス,オリックス・バファローズ,2,1
182,2022-05-05,横浜DeNAベイスターズ,中日ドラゴンズ,10,2
183,2022-05-05,阪神タイガース,東京ヤクルトスワローズ,3,2
184,2022-05-05,広島東洋カープ,読売ジャイアンツ,3,0
185,2022-05-05,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,8,4
186,2022-05-05,埼玉西武ライオンズ,千葉ロッテマリーンズ,7,0
187,2022-05-05,福岡ソフトバンクホークス,オリックス・バファローズ,9,3
188,2022-05-06,東京ヤクルトスワローズ,読売ジャイアンツ,13,2
189,2022-05-06,中日ドラゴンズ,阪神タイガース,1,0
190,2022-05-06,横浜DeNAベイスターズ,広島東洋カープ,4,3
191,2022-05-06,埼玉西武ライオンズ,北海道日本ハムファイターズ,5,0
192,2022-05-06,福岡ソフトバンクホークス,千葉ロッテマリーンズ,5,3
193,2022-05-06,東北楽天ゴールデンイーグルス,オリックス・バファローズ,3,2
194,2022-05-07,東京ヤクルトスワローズ,読売ジャイアンツ,6,2
195,2022-05-07,中日ドラゴンズ,阪神タイガース,2,1
196,2022-05-07,広島東洋カープ,横浜DeNAベイスターズ,2,1
197,2022-05-07,北海道日本ハムファイターズ,埼玉西武ライオンズ,3,2
198,2022-05-07,福岡ソフトバンクホークス,千葉ロッテマリーンズ,16,0
199,2022-05-07,東北楽天ゴールデンイーグルス,オリックス・バファローズ,7,1
200,2022-05-08,東京ヤクルトスワローズ,読売ジャイアンツ,4,3
201,2022-05-08,阪神タイガース,中日ドラゴンズ,4,3
202,2022-05-08,広島東洋カープ,横浜DeNAベイスターズ,17,3
203,2022-05-08,埼玉西武ライオンズ,北海道日本ハムファイターズ,5,1
204,2022-05-08,福岡ソフトバンクホークス,千葉ロッテマリーンズ,8,4
205,2022-05-08,東北楽天ゴールデンイーグルス,オリックス・バファローズ,2,1
206,2022-05-10,中日ドラゴンズ,東京ヤクルトスワローズ,1,0
207,2022-05-10,横浜DeNAベイスターズ,読売ジャイアンツ,3,1
208,2022-05-10,広島東洋カープ,阪神タイガース,3,0
209,2022-05-10,オリックス・バファローズ,北海道日本ハムファイターズ,4,2
210,2022-05-10,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,7,0
211,2022-05-11,中日ドラゴンズ,東京ヤクルトスワローズ,2,0
212,2022-05-11,広島東洋カープ,阪神タイガース,3,2
213,2022-05-11,北海道日本ハムファイターズ,オリックス・バファローズ,5,2
214,2022-05-11,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,3,1
215,2022-05-11,福岡ソフトバンクホークス,埼玉西武ライオンズ,2,0
216,2022-05-12,東京ヤクルトスワローズ,中日ドラゴンズ,3,1
217,2022-05-12,読売ジャイアンツ,横浜DeNAベイスターズ,4,1
218,2022-05-12,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,5,2
219,2022-05-13,読売ジャイアンツ,中日ドラゴンズ,5,2
220,2022-05-13,北海道日本ハムファイターズ,福岡ソフトバンクホークス,1,0
221,2022-05-13,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,4,2
222,2022-05-13,千葉ロッテマリーンズ,オリックス・バファローズ,4,1
223,2022-05-14,読売ジャイアンツ,中日ドラゴンズ,7,6
224,2022-05-14,阪神タイガース,横浜DeNAベイスターズ,9,2
225,2022-05-14,東京ヤクルトスワローズ,広島東洋カープ,5,3
226,2022-05-14,北海道日本ハムファイターズ,福岡ソフトバンクホークス,2,0
227,2022-05-14,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,5,4
228,2022-05-14,オリックス・バファローズ,千葉ロッテマリーンズ,1,0
229,2022-05-15,中日ドラゴンズ,読売ジャイアンツ,9,3
230,2022-05-15,阪神タイガース,横浜DeNAベイスターズ,8,1
231,2022-05-15,広島東洋カープ,東京ヤクルトスワローズ,5,5
232,2022-05-15,北海道日本ハムファイターズ,福岡ソフトバンクホークス,10,2
233,2022-05-15,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,3,1
234,2022-05-15,オリックス・バファローズ,千葉ロッテマリーンズ,8,5
235,2022-05-17,読売ジャイアンツ,広島東洋カープ,3,2
236,2022-05-17,東京ヤクルトスワローズ,阪神タイガース,2,1
237,2022-05-17,横浜DeNAベイスターズ,中日ドラゴンズ,4,0
238,2022-05-17,福岡ソフトバンクホークス,埼玉西武ライオンズ,5,1
239,2022-05-17,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,6,3
240,2022-05-17,オリックス・バファローズ,北海道日本ハムファイターズ,3,0
241,2022-05-18,読売ジャイアンツ,広島東洋カープ,4,2
242,2022-05-18,阪神タイガース,東京ヤクルトスワローズ,8,1
243,2022-05-18,横浜DeNAベイスターズ,中日ドラゴンズ,7,6
244,2022-05-18,福岡ソフトバンクホークス,埼玉西武ライオンズ,3,2
245,2022-05-18,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,1,0
246,2022-05-18,北海道日本ハムファイターズ,オリックス・バファローズ,11,4
247,2022-05-19,読売ジャイアンツ,広島東洋カープ,2,1
248,2022-05-19,東京ヤクルトスワローズ,阪神タイガース,3,0
249,2022-05-19,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,7,2
250,2022-05-20,横浜DeNAベイスターズ,東京ヤクルトスワローズ,3,1
251,2022-05-20,読売ジャイアンツ,阪神タイガース,6,2
252,2022-05-20,広島東洋カープ,中日ドラゴンズ,11,5
253,2022-05-20,北海道日本ハムファイターズ,埼玉西武ライオンズ,5,3
254,2022-05-20,オリックス・バファローズ,東北楽天ゴールデンイーグルス,1,0
255,2022-05-20,千葉ロッテマリーンズ,福岡ソフトバンクホークス,8,1
256,2022-05-21,東京ヤクルトスワローズ,横浜DeNAベイスターズ,9,2
257,2022-05-21,阪神タイガース,読売ジャイアンツ,2,1
258,2022-05-21,広島東洋カープ,中日ドラゴンズ,10,1
259,2022-05-21,北海道日本ハムファイターズ,埼玉西武ライオンズ,4,0
260,2022-05-21,オリックス・バファローズ,東北楽天ゴールデンイーグルス,6,0
261,2022-05-21,千葉ロッテマリーンズ,福岡ソフトバンクホークス,4,2
262,2022-05-22,東京ヤクルトスワローズ,横浜DeNAベイスターズ,5,3
263,2022-05-22,阪神タイガース,読売ジャイアンツ,4,0
264,2022-05-22,広島東洋カープ,中日ドラゴンズ,1,0
265,2022-05-22,埼玉西武ライオンズ,北海道日本ハムファイターズ,3,0
266,2022-05-22,オリックス・バファローズ,東北楽天ゴールデンイーグルス,6,1
267,2022-05-22,福岡ソフトバンクホークス,千葉ロッテマリーンズ,3,2
268,2022-05-24,読売ジャイアンツ,オリックス・バファローズ,4,2
269,2022-05-24,東京ヤクルトスワローズ,北海道日本ハムファイターズ,3,1
270,2022-05-24,横浜DeNAベイスターズ,福岡ソフトバンクホークス,4,3
271,2022-05-24,埼玉西武ライオンズ,中日ドラゴンズ,8,5
272,2022-05-24,阪神タイガース,東北楽天ゴールデンイーグルス,1,0
273,2022-05-24,千葉ロッテマリーンズ,広島東洋カープ,7,0
274,2022-05-25,読売ジャイアンツ,オリックス・バファローズ,5,3
275,2022-05-25,東京ヤクルトスワローズ,北海道日本ハムファイターズ,7,6
276,2022-05-25,福岡ソフトバンクホークス,横浜DeNAベイスターズ,8,2
277,2022-05-25,埼玉西武ライオンズ,中日ドラゴンズ,2,1
278,2022-05-25,東北楽天ゴールデンイーグルス,阪神タイガース,6,1
279,2022-05-25,広島東洋カープ,千葉ロッテマリーンズ,5,2
280,2022-05-26,オリックス・バファローズ,読売ジャイアンツ,3,2
281,2022-05-26,北海道日本ハムファイターズ,東京ヤクルトスワローズ,9,6
282,2022-05-26,横浜DeNAベイスターズ,福岡ソフトバンクホークス,5,1
283,2022-05-26,中日ドラゴンズ,埼玉西武ライオンズ,6,3
284,2022-05-26,東北楽天ゴールデンイーグルス,阪神タイガース,1,0
285,2022-05-26,千葉ロッテマリーンズ,広島東洋カープ,6,3
286,2022-05-27,北海道日本ハムファイターズ,読売ジャイアンツ,3,2
287,2022-05-27,東京ヤクルトスワローズ,東北楽天ゴールデンイーグルス,8,1
288,2022-05-27,横浜DeNAベイスターズ,埼玉西武ライオンズ,1,0
289,2022-05-27,阪神タイガース,千葉ロッテマリーンズ,1,0
290,2022-05-27,中日ドラゴンズ,オリックス・バファローズ,4,1
291,2022-05-27,福岡ソフトバンクホークス,広島東洋カープ,7,0
292,2022-05-28,読売ジャイアンツ,北海道日本ハムファイターズ,8,4
293,2022-05-28,東京ヤクルトスワローズ,東北楽天ゴールデンイーグルス,11,4
294,2022-05-28,埼玉西武ライオンズ,横浜DeNAベイスターズ,10,5
295,2022-05-28,阪神タイガース,千葉ロッテマリーンズ,6,2
296,2022-05-28,中日ドラゴンズ,オリックス・バファローズ,4,1
297,2022-05-28,福岡ソフトバンクホークス,広島東洋カープ,11,1
298,2022-05-29,北海道日本ハムファイターズ,読売ジャイアンツ,7,2
299,2022-05-29,東北楽天ゴールデンイーグルス,東京ヤクルトスワローズ,3,1
300,2022-05-29,埼玉西武ライオンズ,横浜DeNAベイスターズ,3,2
301,2022-05-29,千葉ロッテマリーンズ,阪神タイガース,3,2
302,2022-05-29,オリックス・バファローズ,中日ドラゴンズ,8,0
303,2022-05-29,福岡ソフトバンクホークス,広島東洋カープ,8,0
304,2022-05-31,福岡ソフトバンクホークス,読売ジャイアンツ,3,1
305,2022-05-31,東京ヤクルトスワローズ,千葉ロッテマリーンズ,1,0
306,2022-05-31,横浜DeNAベイスターズ,オリックス・バファローズ,4,1
307,2022-05-31,中日ドラゴンズ,東北楽天ゴールデンイーグルス,2,0
308,2022-05-31,埼玉西武ライオンズ,阪神タイガース,2,0
309,2022-05-31,広島東洋カープ,北海道日本ハムファイターズ,1,0
310,2022-06-01,福岡ソフトバンクホークス,読売ジャイアンツ,6,3
311,2022-06-01,千葉ロッテマリーンズ,東京ヤクルトスワローズ,4,3
312,2022-06-01,オリックス・バファローズ,横浜DeNAベイスターズ,5,1
313,2022-06-01,東北楽天ゴールデンイーグルス,中日ドラゴンズ,2,0
314,2022-06-01,阪神タイガース,埼玉西武ライオンズ,5,4
315,2022-06-01,北海道日本ハムファイターズ,広島東洋カープ,5,1
316,2022-06-02,読売ジャイアンツ,福岡ソフトバンクホークス,3,0
317,2022-06-02,東京ヤクルトスワローズ,千葉ロッテマリーンズ,7,3
318,2022-06-02,オリックス・バファローズ,横浜DeNAベイスターズ,3,1
319,2022-06-02,中日ドラゴンズ,東北楽天ゴールデンイーグルス,3,2
320,2022-06-02,阪神タイガース,埼玉西武ライオンズ,6,1
321,2022-06-02,広島東洋カープ,北海道日本ハムファイターズ,6,3
322,2022-06-03,読売ジャイアンツ,千葉ロッテマリーンズ,10,3
323,2022-06-03,東京ヤクルトスワローズ,埼玉西武ライオンズ,1,0
324,2022-06-03,横浜DeNAベイスターズ,東北楽天ゴールデンイーグルス,7,0
325,2022-06-03,福岡ソフトバンクホークス,中日ドラゴンズ,6,0
326,2022-06-03,阪神タイガース,北海道日本ハムファイターズ,9,7
327,2022-06-03,オリックス・バファローズ,広島東洋カープ,4,1
328,2022-06-04,読売ジャイアンツ,千葉ロッテマリーンズ,2,1
329,2022-06-04,東京ヤクルトスワローズ,埼玉西武ライオンズ,3,2
330,2022-06-04,横浜DeNAベイスターズ,東北楽天ゴールデンイーグルス,6,1
331,2022-06-04,中日ドラゴンズ,福岡ソフトバンクホークス,4,2
332,2022-06-04,阪神タイガース,北海道日本ハムファイターズ,3,0
333,2022-06-04,オリックス・バファローズ,広島東洋カープ,3,2
334,2022-06-05,千葉ロッテマリーンズ,読売ジャイアンツ,10,4
335,2022-06-05,東京ヤクルトスワローズ,埼玉西武ライオンズ,5,3
336,2022-06-05,東北楽天ゴールデンイーグルス,横浜DeNAベイスターズ,6,5
337,2022-06-05,中日ドラゴンズ,福岡ソフトバンクホークス,7,3
338,2022-06-05,阪神タイガース,北海道日本ハムファイターズ,8,3
339,2022-06-05,オリックス・バファローズ,広島東洋カープ,5,2
340,2022-06-07,横浜DeNAベイスターズ,北海道日本ハムファイターズ,2,0
341,2022-06-07,広島東洋カープ,東北楽天ゴールデンイーグルス,3,1
342,2022-06-07,埼玉西武ライオンズ,読売ジャイアンツ,9,4
343,2022-06-07,千葉ロッテマリーンズ,中日ドラゴンズ,6,2
344,2022-06-07,オリックス・バファローズ,東京ヤクルトスワローズ,6,1
345,2022-06-07,阪神タイガース,福岡ソフトバンクホークス,2,0
346,2022-06-08,北海道日本ハムファイターズ,横浜DeNAベイスターズ,5,3
347,2022-06-08,東北楽天ゴールデンイーグルス,広島東洋カープ,1,0
348,2022-06-08,埼玉西武ライオンズ,読売ジャイアンツ,3,0
349,2022-06-08,千葉ロッテマリーンズ,中日ドラゴンズ,9,6
350,2022-06-08,東京ヤクルトスワローズ,オリックス・バファローズ,6,3
351,2022-06-08,福岡ソフトバンクホークス,阪神タイガース,1,0
352,2022-06-09,横浜DeNAベイスターズ,北海道日本ハムファイターズ,4,2
353,2022-06-09,東北楽天ゴールデンイーグルス,広島東洋カープ,4,1
354,2022-06-09,読売ジャイアンツ,埼玉西武ライオンズ,4,3
355,2022-06-09,千葉ロッテマリーンズ,中日ドラゴンズ,2,0
356,2022-06-09,東京ヤクルトスワローズ,オリックス・バファローズ,2,1
357,2022-06-09,福岡ソフトバンクホークス,阪神タイガース,4,0
358,2022-06-10,北海道日本ハムファイターズ,中日ドラゴンズ,2,1
359,2022-06-10,読売ジャイアンツ,東北楽天ゴールデンイーグルス,4,1
360,2022-06-10,広島東洋カープ,埼玉西武ライオンズ,6,3
361,2022-06-10,千葉ロッテマリーンズ,横浜DeNAベイスターズ,2,1
362,2022-06-10,阪神タイガース,オリックス・バファローズ,6,1
363,2022-06-10,東京ヤクルトスワローズ,福岡ソフトバンクホークス,3,1
364,2022-06-11,北海道日本ハムファイターズ,中日ドラゴンズ,10,0
365,2022-06-11,東北楽天ゴールデンイーグルス,読売ジャイアンツ,8,1
366,2022-06-11,埼玉西武ライオンズ,広島東洋カープ,2,1
